filename,width,height,class,xmin,ymin,xmax,ymax
wally_2020_2_9_306259_regu.jpg,256,256,waldo,97,80,133,121
wally_2020_2_9_306259_regu.jpg,256,256,waldo,110,45,145,86
wally_2020_2_9_306259_regu.jpg,256,256,waldo,122,9,151,49
wally_2020_2_9_766274_xuml.jpg,257,256,waldo,113,38,144,89
wally_2020_2_9_766274_xuml.jpg,257,256,waldo,108,36,146,138
wally_2020_2_9_766274_xuml.jpg,257,256,waldo,110,37,145,220
wally_2020_2_9_189515_gfut.jpg,256,256,waldo,108,103,147,153
wally_2020_2_9_189515_gfut.jpg,256,256,waldo,109,103,151,197
wally_2020_2_9_478909_wwid.jpg,257,256,waldo,117,103,139,154
wally_2020_2_9_716970_mlih.jpg,256,256,waldo,122,112,134,130
wally_2020_2_9_716970_mlih.jpg,256,256,waldo,118,112,138,144
wally_2020_2_9_823166_xshv.jpg,256,256,waldo,117,112,138,144
wally_2020_2_9_823166_xshv.jpg,256,256,waldo,117,112,140,154
wally_2020_2_9_340247_gbfu.jpg,256,256,waldo,113,94,135,123
wally_2020_2_9_340247_gbfu.jpg,256,256,waldo,110,93,147,206
wally_2020_2_9_340247_gbfu.jpg,256,256,waldo,110,93,146,163
wally_2020_2_9_309692_akwd.jpg,268,256,waldo,100,7,149,65
wally_2020_2_9_309692_akwd.jpg,268,256,waldo,96,5,159,263
wally_2020_2_9_248698_imkg.jpg,256,256,waldo,120,120,137,153
wally_2020_2_9_248698_imkg.jpg,256,256,waldo,120,119,135,137
wally_2020_2_9_242522_hpms.jpg,256,256,waldo,115,112,140,144
wally_2020_2_9_705334_prbb.jpg,256,256,waldo,116,112,139,144
wally_2020_2_9_705334_prbb.jpg,256,256,waldo,116,112,138,140
wally_2020_2_9_848501_uhsu.jpg,256,256,waldo,27,4,60,43
wally_2020_2_9_848501_uhsu.jpg,256,256,waldo,4,5,73,112
wally_2020_2_9_848501_uhsu.jpg,256,256,waldo,121,9,150,44
wally_2020_2_9_848501_uhsu.jpg,256,256,waldo,87,9,169,93
wally_2020_2_9_848501_uhsu.jpg,256,256,waldo,197,14,227,53
wally_2020_2_9_848501_uhsu.jpg,256,256,waldo,184,13,248,111
wally_2020_2_9_689337_wcmg.jpg,256,256,waldo,113,76,143,114
wally_2020_2_9_769739_pmsg.jpg,256,277,waldo,7,1,177,197
wally_2020_2_9_769739_pmsg.jpg,256,277,waldo,5,1,272,253
wally_2020_2_9_537865_cgeg.jpg,256,256,waldo,118,118,138,138
wally_2020_2_9_327806_iaki.jpg,256,256,waldo,107,104,143,154
wally_2020_2_9_327806_iaki.jpg,256,256,waldo,91,101,164,226
wally_2020_2_9_327806_iaki.jpg,256,256,waldo,217,9,255,57
wally_2020_2_9_832025_accr.jpg,256,256,waldo,96,113,106,124
wally_2020_2_9_832025_accr.jpg,256,256,waldo,93,113,112,143
wally_2020_2_9_760617_vklh.jpg,256,256,waldo,185,116,208,140
wally_2020_2_9_509751_upjg.jpg,256,256,waldo,103,55,142,107
wally_2020_2_9_509751_upjg.jpg,256,256,waldo,101,54,147,159
wally_2020_2_9_509751_upjg.jpg,256,256,waldo,101,53,155,203
wally_2020_2_9_276556_qiwp.jpg,256,256,waldo,113,73,141,117
wally_2020_2_9_276556_qiwp.jpg,256,256,waldo,92,72,163,184
wally_2020_2_9_276556_qiwp.jpg,256,256,waldo,123,42,152,81
wally_2020_2_9_276556_qiwp.jpg,256,256,waldo,132,4,168,45
wally_2020_2_9_809955_bnbl.jpg,256,256,waldo,106,101,149,155
wally_2020_2_9_139867_dpmn.jpg,257,256,waldo,186,112,197,128
wally_2020_2_9_139867_dpmn.jpg,257,256,waldo,178,111,199,146
wally_2020_2_9_467742_lwqa.jpg,256,256,waldo,81,107,109,144
wally_2020_2_9_467742_lwqa.jpg,256,256,waldo,79,104,109,152
wally_2020_2_9_591637_cugf.jpg,257,256,waldo,107,92,143,123
wally_2020_2_9_591637_cugf.jpg,257,256,waldo,99,92,157,165
wally_2020_2_9_260903_qhvk.jpg,256,256,waldo,90,116,130,163
wally_2020_2_9_260903_qhvk.jpg,256,256,waldo,85,114,137,211
wally_2020_2_9_260903_qhvk.jpg,256,256,waldo,135,151,178,199
wally_2020_2_9_260903_qhvk.jpg,256,256,waldo,129,149,187,250
wally_2020_2_9_260903_qhvk.jpg,256,256,waldo,162,141,207,185
wally_2020_2_9_260903_qhvk.jpg,256,256,waldo,167,140,209,209
wally_2020_2_9_663565_wcpi.jpg,257,256,waldo,112,89,143,132
wally_2020_2_9_663565_wcpi.jpg,257,256,waldo,110,88,146,169
wally_2020_2_9_359429_hneq.jpg,256,256,waldo,116,195,140,223
wally_2020_2_9_147755_cevh.jpg,337,302,waldo,9,8,225,230
wally_2020_2_9_147755_cevh.jpg,337,302,waldo,7,10,299,336
wally_2020_2_9_142351_btxr.jpg,256,256,waldo,120,57,145,91
wally_2020_2_9_142351_btxr.jpg,256,256,waldo,121,56,149,113
wally_2020_2_9_231144_shfw.jpg,256,256,waldo,113,107,143,149
wally_2020_2_9_231144_shfw.jpg,256,256,waldo,117,108,133,127
wally_2020_2_9_879866_nmvb.jpg,257,256,waldo,120,117,135,140
wally_2020_2_9_879866_nmvb.jpg,257,256,waldo,122,119,147,168
